@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
87,'2016/09/18 14:56:07:651',1,38.775696,0.689806,-0.120475,-0.104062,-0.061928,0.074553,0.035039,0.135313,0.082908,0.182232,0.099575,0.094743,0.188995,0.262306,418.420898,1,?,?,?
88,'2016/09/18 14:56:07:732',1,38.572563,0.688278,-0.12334,-0.10751,-0.065725,0.072962,0.035687,0.129307,0.079805,0.184391,0.100754,0.096597,0.191178,0.256194,418.536346,1,?,?,?
89,'2016/09/18 14:56:07:813',1,38.283154,0.695716,-0.125687,-0.114133,-0.070411,0.077233,0.025842,0.115795,0.073484,0.184205,0.099417,0.094484,0.190434,0.251698,417.955811,1,?,?,?
90,'2016/09/18 14:56:07:894',1,38.190506,0.699415,-0.131482,-0.120765,-0.067867,0.071185,0.027031,0.110796,0.070377,0.179251,0.094533,0.09699,0.180863,0.254521,417.964874,1,?,?,?
91,'2016/09/18 14:56:07:976',1,37.498581,0.717308,-0.143222,-0.118494,-0.066116,0.073499,0.021996,0.109754,0.065501,0.171589,0.091675,0.1026,0.177028,0.251548,417.616272,1,?,?,?
92,'2016/09/18 14:56:08:057',1,37.151043,0.733193,-0.160866,-0.119497,-0.070319,0.069286,0.014871,0.110188,0.061795,0.168904,0.089748,0.107791,0.172399,0.258564,417.352539,1,?,?,?
93,'2016/09/18 14:56:08:138',1,37.213524,0.746054,-0.170702,-0.128317,-0.074509,0.059693,0.017342,0.11212,0.059123,0.167166,0.084911,0.111819,0.167359,0.260967,417.444153,1,?,?,?
94,'2016/09/18 14:56:08:219',1,36.781052,0.756226,-0.16955,-0.124873,-0.086754,0.0635,0.027953,0.11143,0.05797,0.160779,0.082189,0.1206,0.166028,0.260544,417.425903,1,?,?,?
95,'2016/09/18 14:56:08:289',1,36.034611,0.768286,-0.174398,-0.116434,-0.105935,0.070301,0.030542,0.114745,0.05177,0.158014,0.070888,0.134504,0.168074,0.257447,417.005188,1,?,?,?
96,'2016/09/18 14:56:08:370',1,35.652672,0.782016,-0.179582,-0.119897,-0.119375,0.067577,0.033303,0.118481,0.055049,0.146285,0.072755,0.145979,0.172866,0.255883,417.093262,1,?,?,?
